metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,5242.364658355713,0.0,0.0,5242.364658355713,5242.364658355713,5242.36 ± 0,5242.36 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.019351989030838013,0.0,0.0,0.019351989030838013,0.019351989030838013,0.019352 ± 0,0.019352 ± 0
mse_u,1,0.0004368856025394052,0.0,0.0,0.0004368856025394052,0.0004368856025394052,0.000436886 ± 0,0.000436886 ± 0
mse_f,1,0.0033848844468593597,0.0,0.0,0.0033848844468593597,0.0033848844468593597,0.00338488 ± 0,0.00338488 ± 0
mse_bd,1,0.0003127335221506655,0.0,0.0,0.0003127335221506655,0.0003127335221506655,0.000312734 ± 0,0.000312734 ± 0
train_mse_norm,1,0.0010284269228577614,0.0,0.0,0.0010284269228577614,0.0010284269228577614,0.00102843 ± 0,0.00102843 ± 0
rl2_train,1,0.018537205067651014,0.0,0.0,0.018537205067651014,0.018537205067651014,0.0185372 ± 0,0.0185372 ± 0
rl2_train_global,1,0.018537205067651014,0.0,0.0,0.018537205067651014,0.018537205067651014,0.0185372 ± 0,0.0185372 ± 0
rl2_train_mean_per_sample,1,0.017090629786252975,0.0,0.0,0.017090629786252975,0.017090629786252975,0.0170906 ± 0,0.0170906 ± 0
rl2_train_std_per_sample,1,0.007524115485664295,0.0,0.0,0.007524115485664295,0.007524115485664295,0.00752412 ± 0,0.00752412 ± 0
rl2_train_sem_per_sample,1,0.0023793342312843154,0.0,0.0,0.0023793342312843154,0.0023793342312843154,0.00237933 ± 0,0.00237933 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
