metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4580.061450958252,0.0,0.0,4580.061450958252,4580.061450958252,4580.06 ± 0,4580.06 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.021203674376010895,0.0,0.0,0.021203674376010895,0.021203674376010895,0.0212037 ± 0,0.0212037 ± 0
mse_u,1,0.0022267920430749655,0.0,0.0,0.0022267920430749655,0.0022267920430749655,0.00222679 ± 0,0.00222679 ± 0
mse_f,1,0.0007691450882703066,0.0,0.0,0.0007691450882703066,0.0007691450882703066,0.000769145 ± 0,0.000769145 ± 0
mse_bd,1,0.0025076367892324924,0.0,0.0,0.0025076367892324924,0.0025076367892324924,0.00250764 ± 0,0.00250764 ± 0
train_mse_norm,1,0.004428308457136154,0.0,0.0,0.004428308457136154,0.004428308457136154,0.00442831 ± 0,0.00442831 ± 0
rl2_train,1,0.038431077949151696,0.0,0.0,0.038431077949151696,0.038431077949151696,0.0384311 ± 0,0.0384311 ± 0
rl2_train_global,1,0.038431077949151696,0.0,0.0,0.038431077949151696,0.038431077949151696,0.0384311 ± 0,0.0384311 ± 0
rl2_train_mean_per_sample,1,0.02846782049164176,0.0,0.0,0.02846782049164176,0.02846782049164176,0.0284678 ± 0,0.0284678 ± 0
rl2_train_std_per_sample,1,0.027202430701669934,0.0,0.0,0.027202430701669934,0.027202430701669934,0.0272024 ± 0,0.0272024 ± 0
rl2_train_sem_per_sample,1,0.008602163891016928,0.0,0.0,0.008602163891016928,0.008602163891016928,0.00860216 ± 0,0.00860216 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
