metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4549.995077610016,0.0,0.0,4549.995077610016,4549.995077610016,4550 ± 0,4550 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.03199634701013565,0.0,0.0,0.03199634701013565,0.03199634701013565,0.0319963 ± 0,0.0319963 ± 0
mse_u,1,0.002438476076349616,0.0,0.0,0.002438476076349616,0.002438476076349616,0.00243848 ± 0,0.00243848 ± 0
mse_f,1,0.0004510573053266853,0.0,0.0,0.0004510573053266853,0.0004510573053266853,0.000451057 ± 0,0.000451057 ± 0
mse_bd,1,6.701745587633923e-05,0.0,0.0,6.701745587633923e-05,6.701745587633923e-05,6.70175e-05 ± 0,6.70175e-05 ± 0
train_mse_norm,1,0.009441673755645752,0.0,0.0,0.009441673755645752,0.009441673755645752,0.00944167 ± 0,0.00944167 ± 0
rl2_train,1,0.08806835854287384,0.0,0.0,0.08806835854287384,0.08806835854287384,0.0880684 ± 0,0.0880684 ± 0
rl2_train_global,1,0.08806835854287384,0.0,0.0,0.08806835854287384,0.08806835854287384,0.0880684 ± 0,0.0880684 ± 0
rl2_train_mean_per_sample,1,0.07882327418774367,0.0,0.0,0.07882327418774367,0.07882327418774367,0.0788233 ± 0,0.0788233 ± 0
rl2_train_std_per_sample,1,0.059416434769979716,0.0,0.0,0.059416434769979716,0.059416434769979716,0.0594164 ± 0,0.0594164 ± 0
rl2_train_sem_per_sample,1,0.01878912643199586,0.0,0.0,0.01878912643199586,0.01878912643199586,0.0187891 ± 0,0.0187891 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
