metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4512.72381734848,0.0,0.0,4512.72381734848,4512.72381734848,4512.72 ± 0,4512.72 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.02735069952905178,0.0,0.0,0.02735069952905178,0.02735069952905178,0.0273507 ± 0,0.0273507 ± 0
mse_u,1,0.0031067414674907923,0.0,0.0,0.0031067414674907923,0.0031067414674907923,0.00310674 ± 0,0.00310674 ± 0
mse_f,1,0.0006566051742993295,0.0,0.0,0.0006566051742993295,0.0006566051742993295,0.000656605 ± 0,0.000656605 ± 0
mse_bd,1,3.517454388202168e-05,0.0,0.0,3.517454388202168e-05,3.517454388202168e-05,3.51745e-05 ± 0,3.51745e-05 ± 0
train_mse_norm,1,0.010782322846353054,0.0,0.0,0.010782322846353054,0.010782322846353054,0.0107823 ± 0,0.0107823 ± 0
rl2_train,1,0.09487847485733716,0.0,0.0,0.09487847485733716,0.09487847485733716,0.0948785 ± 0,0.0948785 ± 0
rl2_train_global,1,0.09487847485733716,0.0,0.0,0.09487847485733716,0.09487847485733716,0.0948785 ± 0,0.0948785 ± 0
rl2_train_mean_per_sample,1,0.08499183282256126,0.0,0.0,0.08499183282256126,0.08499183282256126,0.0849918 ± 0,0.0849918 ± 0
rl2_train_std_per_sample,1,0.051484819586961224,0.0,0.0,0.051484819586961224,0.051484819586961224,0.0514848 ± 0,0.0514848 ± 0
rl2_train_sem_per_sample,1,0.016280929481764687,0.0,0.0,0.016280929481764687,0.016280929481764687,0.0162809 ± 0,0.0162809 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
