metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4570.997805356979,0.0,0.0,4570.997805356979,4570.997805356979,4571 ± 0,4571 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,0.011045617051422596,0.0,0.0,0.011045617051422596,0.011045617051422596,0.0110456 ± 0,0.0110456 ± 0
mse_u,1,0.005797955673187971,0.0,0.0,0.005797955673187971,0.005797955673187971,0.00579796 ± 0,0.00579796 ± 0
mse_f,1,0.001287280349060893,0.0,0.0,0.001287280349060893,0.001287280349060893,0.00128728 ± 0,0.00128728 ± 0
mse_bd,1,0.0002611418894957751,0.0,0.0,0.0002611418894957751,0.0002611418894957751,0.000261142 ± 0,0.000261142 ± 0
train_mse_norm,1,0.03705039620399475,0.0,0.0,0.03705039620399475,0.03705039620399475,0.0370504 ± 0,0.0370504 ± 0
rl2_train,1,0.1924778103862191,0.0,0.0,0.1924778103862191,0.1924778103862191,0.192478 ± 0,0.192478 ± 0
rl2_train_global,1,0.1924778103862191,0.0,0.0,0.1924778103862191,0.1924778103862191,0.192478 ± 0,0.192478 ± 0
rl2_train_mean_per_sample,1,0.18583156317472457,0.0,0.0,0.18583156317472457,0.18583156317472457,0.185832 ± 0,0.185832 ± 0
rl2_train_std_per_sample,1,0.04439516581049698,0.0,0.0,0.04439516581049698,0.04439516581049698,0.0443952 ± 0,0.0443952 ± 0
rl2_train_sem_per_sample,1,0.014038984106200561,0.0,0.0,0.014038984106200561,0.014038984106200561,0.014039 ± 0,0.014039 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
