metric,n,mean,std,sem,mean_minus_std,mean_plus_std,mean_±_std,mean_±_sem
wall_time_sec,1,4967.834554672241,0.0,0.0,4967.834554672241,4967.834554672241,4967.83 ± 0,4967.83 ± 0
epoch,1,20000.0,0.0,0.0,20000.0,20000.0,20000 ± 0,20000 ± 0
train_loss,1,18.01519775390625,0.0,0.0,18.01519775390625,18.01519775390625,18.0152 ± 0,18.0152 ± 0
mse_u,1,1.3866647481918335,0.0,0.0,1.3866647481918335,1.3866647481918335,1.38666 ± 0,1.38666 ± 0
mse_f,1,12.781657218933105,0.0,0.0,12.781657218933105,12.781657218933105,12.7817 ± 0,12.7817 ± 0
mse_bd,1,3.767683982849121,0.0,0.0,3.767683982849121,3.767683982849121,3.76768 ± 0,3.76768 ± 0
train_mse_norm,1,5.612771034240723,0.0,0.0,5.612771034240723,5.612771034240723,5.61277 ± 0,5.61277 ± 0
rl2_train,1,2.369128804378796,0.0,0.0,2.369128804378796,2.369128804378796,2.36913 ± 0,2.36913 ± 0
rl2_train_global,1,2.369128804378796,0.0,0.0,2.369128804378796,2.369128804378796,2.36913 ± 0,2.36913 ± 0
rl2_train_mean_per_sample,1,1.7430086992681026,0.0,0.0,1.7430086992681026,1.7430086992681026,1.74301 ± 0,1.74301 ± 0
rl2_train_std_per_sample,1,1.6971096356332114,0.0,0.0,1.6971096356332114,1.6971096356332114,1.69711 ± 0,1.69711 ± 0
rl2_train_sem_per_sample,1,0.5366731887619403,0.0,0.0,0.5366731887619403,0.5366731887619403,0.536673 ± 0,0.536673 ± 0
n_train_samples_for_rl2,1,10.0,0.0,0.0,10.0,10.0,10 ± 0,10 ± 0
